epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.0401,1.30229,4.57366,1.11237,0,0,0,0,1.00427,4.49302,0.96005,8.942e-05,8.942e-05,8.942e-05
2,29.9408,1.16751,4.043,0.98578,0.0516,0.13028,0.03805,0.02509,1.06823,4.35158,0.96602,0.000180455,0.000180455,0.000180455
3,35.8218,1.1923,3.52298,1.01435,0.06039,0.59453,0.06856,0.04767,1.08837,3.67735,0.97239,0.00026774,0.00026774,0.00026774
4,40.5522,1.18161,3.21329,1.00849,0.06911,0.65328,0.11405,0.08217,1.10581,3.45146,0.99272,0.000351276,0.000351276,0.000351276
5,45.1403,1.16897,2.85019,0.99215,0.10064,0.72473,0.13047,0.08424,1.13113,3.35924,0.9984,0.000431063,0.000431063,0.000431063
6,50.9229,1.2107,2.4368,0.99328,0.19176,0.51916,0.21951,0.14265,1.08439,2.17826,0.98821,0.000473926,0.000473926,0.000473926
7,55.542,1.19404,2.2787,0.99597,0.19922,0.78835,0.23959,0.15557,1.14027,1.94316,1.01555,0.000463511,0.000463511,0.000463511
8,60.1054,1.14797,2.07813,0.98745,0.20363,0.6066,0.24667,0.15899,1.13595,1.90062,1.00775,0.000453096,0.000453096,0.000453096
9,65.9326,1.13701,1.98366,0.98969,0.22318,0.70316,0.2753,0.19549,1.05827,1.83145,1.00226,0.000442682,0.000442682,0.000442682
10,70.6155,1.0934,1.89064,0.96479,0.22343,0.80497,0.28709,0.20445,1.02861,1.79176,0.99127,0.000432267,0.000432267,0.000432267
11,75.221,1.10357,1.87169,0.97453,0.23053,0.76506,0.29724,0.21032,1.07678,1.69423,1.01058,0.000421852,0.000421852,0.000421852
12,81.018,1.07352,1.80821,0.97399,0.24095,0.80908,0.31099,0.2202,1.0608,1.60931,0.99798,0.000411437,0.000411437,0.000411437
13,85.7181,1.08552,1.71746,0.97443,0.25297,0.79754,0.32531,0.23662,0.97379,1.60036,0.97519,0.000401022,0.000401022,0.000401022
14,90.3718,1.07385,1.6829,0.95784,0.24761,0.83637,0.33874,0.24826,0.97236,1.5609,0.97202,0.000390608,0.000390608,0.000390608
