epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.509,1.30229,4.57366,1.11237,0,0,0,0,1.00427,4.49302,0.96005,8.942e-05,8.942e-05,8.942e-05
2,18.9238,1.16765,4.03945,0.98533,0.04683,0.16392,0.03698,0.02449,1.07758,4.32714,0.96436,0.000183918,0.000183918,0.000183918
3,23.8982,1.19369,3.51245,1.01426,0.05885,0.58995,0.06945,0.04902,1.09167,3.66744,0.97317,0.000278228,0.000278228,0.000278228
4,30.2782,1.18366,3.20077,1.00903,0.06739,0.651,0.10999,0.0789,1.11467,3.47123,0.99647,0.000372351,0.000372351,0.000372351
5,35.3022,1.17228,2.81595,0.99162,0.10434,0.71963,0.13568,0.08724,1.13704,3.36544,1.00255,0.000466286,0.000466286,0.000466286
6,41.6621,1.21067,2.40042,0.99512,0.18826,0.57737,0.21139,0.13467,1.11238,2.13868,1.02352,0.000523396,0.000523396,0.000523396
7,46.6594,1.1903,2.24779,0.99393,0.19648,0.81501,0.23299,0.15316,1.13373,1.92296,1.02039,0.000522876,0.000522876,0.000522876
8,51.6463,1.14861,2.04745,0.99043,0.20484,0.59019,0.24826,0.15835,1.13292,1.862,1.00892,0.000522355,0.000522355,0.000522355
9,136.445,1.13578,1.96128,0.99298,0.24218,0.63822,0.27589,0.19252,1.06005,1.87751,1.00777,0.000521834,0.000521834,0.000521834
10,141.365,1.08694,1.86367,0.9643,0.22608,0.79607,0.2838,0.2004,1.06484,1.85183,1.00815,0.000521313,0.000521313,0.000521313
11,146.368,1.12474,1.85381,0.98134,0.22215,0.77248,0.28852,0.19635,1.14187,1.69811,1.03519,0.000520793,0.000520793,0.000520793
12,74.0389,1.0705,1.78648,0.97196,0.24093,0.81858,0.30915,0.21872,1.04806,1.60095,0.99292,0.000520272,0.000520272,0.000520272
13,79.1234,1.08573,1.69618,0.97208,0.25381,0.75892,0.32964,0.22855,1.05363,1.62897,0.98315,0.000519751,0.000519751,0.000519751
14,84.1138,1.08029,1.6682,0.95999,0.2626,0.81297,0.33643,0.24442,0.98128,1.54396,0.9669,0.00051923,0.00051923,0.00051923
15,90.3322,1.09872,1.65936,0.98546,0.28712,0.60095,0.37197,0.26651,1.02668,1.58662,0.97044,0.00051871,0.00051871,0.00051871
16,95.3471,1.04663,1.64902,0.95756,0.31088,0.65627,0.4065,0.28207,1.07441,1.48969,0.98122,0.000518189,0.000518189,0.000518189
17,101.712,1.02701,1.61202,0.94016,0.37488,0.63289,0.47636,0.34292,1.02431,1.41981,0.95599,0.000517668,0.000517668,0.000517668
18,106.633,1.06591,1.56973,0.96524,0.47383,0.68325,0.48205,0.33706,1.08019,1.49752,0.96294,0.000517147,0.000517147,0.000517147
